﻿央视及省卫视,#genre#
CCTV1,http://223.110.242.133:6610/jsyd/live1/G_CCTV-1-MD/G_CCTV-1-MD/
CCTV1,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226226/1.m3u8
CCTV1,http://117.169.120.98:8080/ysten-businessmobile/live/hdcctv01/1.m3u8
CCTV2,http://223.110.244.214:6610/gitv/live1/G_CCTV-2-CQ/G_CCTV-2-CQ/
CCTV2,http://223.110.241.206:6610/gitv/live1/G_CCTV-2-HD/G_CCTV-2-HD/
CCTV2,http://120.221.5.107:8089/PLTV/88888888/224/3221225751/1.m3u8
CCTV3,http://223.110.242.133:6610/jsyd/live1/G_CCTV-3-MD/G_CCTV-3-MD/
CCTV3,http://39.134.65.162/PLTV/88888888/224/3221225490/index.m3u8
CCTV3,http://223.110.241.130:6610/gitv/live1/G_CCTV-3-HQ/.m3u8
CCTV3,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-3/1.m3u8
CCTV3,http://223.110.243.170//PLTV/3/224/3221225588/index.m3u8
CCTV4,http://111.20.105.60:6060/yinhe/2/ch00000090990000001290/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV4,http://223.110.244.213:6610/gitv/live1/G_CCTV-4-CQ/G_CCTV-4-CQ
CCTV4,http://223.110.241.206:6610/gitv/live1/G_CCTV-4-HQ/G_CCTV-4-HQ/
CCTV5,http://223.110.242.134:6610/gitv/live1/G_CCTV-5-MD/G_CCTV-5-MD/
CCTV5,http://112.17.40.145/PLTV/88888888/224/3221226687/index.m3u8
CCTV5,http://223.110.241.130:6610/gitv/live1/G_CCTV-5-HQ/G_CCTV-5-HQ/
CCTV5,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228849/index.m3u8
CCTV5,http://112.17.40.6:80/PLTV/88888888/224/3221226400/index.m3u8
CCTV5+,http://112.17.40.145/PLTV/88888888/224/3221226406/index.m3u8
CCTV5+,http://223.110.241.206:6610/gitv/live1/G_CCTV-5PLUS-CQ/G_CCTV-5PLUS-CQ/
CCTV5+,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226225/1.m3u8
CCTV5+,http://117.169.124.46:6410/ysten-businessmobile/live/hdcctv05plus/1.m3u8
CCTV6,http://223.110.242.197:6610/gitv/live1/G_CCTV-6-CQ/G_CCTV-6-CQ/
CCTV6,http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8
CCTV6,http://39.134.65.162/PLTV/88888888/224/3221225488/index.m3u8
CCTV6,http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8
CCTV6,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-6/1.m3u8
CCTV7,http://223.110.242.194:6610/cntv/live1/HD-12000k-1080P-cctv7/1.m3u8
CCTV7,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/1.m3u8
CCTV7,http://120.221.5.113:8089/PLTV/88888888/224/3221225753/index.m3u8
CCTV7,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/9021776916726275968/1.m3u8?stbId=005303FF00010060000100E400EDD522&channel-id=shvoolive&Contentid=9021776916726275968&mos=jbjhhzstsl&livemode=1&proto=7&version=1.0&owaccmark=9021776916726275968&owchid=shvoolive&owsid=1117721579531499433&AuthInfo=dIshjDc3shv8ei%2BWF5V%2F4V6lf0HKCsUdpGR8CeY5ZvwycVHGQkBt0T4Mgr0s8ldsXtd9fDrW5osGZSl1tYFcN4xKXGPanSFGs4GR6kXBOyjKyNYEmAQ7njzvrMpDpEoy
CCTV8,http://223.110.244.210:6610/gitv/live1/G_CCTV-8-CQ/G_CCTV-8-CQ/
CCTV8,http://39.134.65.162/PLTV/88888888/224/3221225485/index.m3u8
CCTV8,http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8
CCTV8,http://117.169.124.36:6610/ysten-businessmobile/live/cctv-8/1.m3u8
CCTV9,http://223.110.242.134:6610/cntv/live1/HD-8000k-1080P-cctv9/1.m3u8
CCTV9,rtsp://27.195.129.60:554/PLTV/88888888/224/3221225867/10000100000000060000000000219049_0.smil
CCTV9,http://120.221.5.113:8089/PLTV/88888888/224/3221225759/index.m3u8
CCTV9,http://121.18.168.149/cache.ott.ystenlive.itv.cmvideo.cn:80/000000001000/1000000001000014583/1.m3u8?stbId=005303FF00010060000100E400EDD522&channel-id=ystenlive&Contentid=1000000001000014583&mos=jbjhhzstsl&livemode=1&version=1.0&owaccmark=1000000001000014583&owchid=ystenlive&owsid=7167961579531601678&AuthInfo=dIshjDc3shv8ei%2BWF5V%2F4V6lf0HKCsUdpGR8CeY5Zvyu3lLj0NrV6tPDBIsVEpn34sImpRHeOmdxmKUDLs1%2BcZ4JMWbvuFdY7IsuWCFdW392C%2BvFQjyH4LwQq4yRWFvT
CCTV10,http://223.110.244.214:6610/cntv/live1/HD-8000k-1080P-cctv10/1.m3u8
CCTV10,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226227/1.m3u8
CCTV10,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225814/1.m3u8
CCTV10,http://120.221.5.101:8089/PLTV/88888888/224/3221225761/index.m3u8
CCTV11,http://223.110.242.133:6610/gitv/live1/G_CCTV-11-HQ/G_CCTV-11-HQ/
CCTV11,http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226315/1.m3u8
CCTV11,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225815/1.m3u8 
CCTV12,http://223.110.244.195:6610/cntv/live1/HD-8000k-1080P-cctv12/1.m3u8
CCTV12,http://120.221.5.113:8089/PLTV/88888888/224/3221225763/index.m3u8
